Year ,NC Students,International Students,#StudentsMajor(UG),#StudentsMajor (GS),#Students Business School Major(UG),#Students Business School Major (GS),#Business School Major/Program(UG),#Business School Major/Program (GS), Tuition Fees (year) $ ,Covid (1/0), # of Covid Cases ,GDP (US),GDP(NC),Elon Ranking (USA),# Total Majors (UG),#Total Major (GS)
Fall 2007,1806,112,4939,517,1077,118,3,1,"$10,933.00 ",0,0,1.45E+13,4.39E+11,301,51,4
Spring 2008,1763,114,4776,486,1121,103,3,1,"$10,933.00 ",0,0,1.48E+13,4.51E+11,301,50,4
Fall 2008,1978,127,4992,636,1148,127,3,1,"$11,873.00 ",0,0,1.48E+13,4.51E+11,301,51,4
Spring 2009,1900,120,4844,616,1175,117,3,1,"$11,873.00 ",0,0,1.45E+13,4.32E+11,301,53,4
Fall 2009,1969,118,4995,671,1141,124,3,1,"$12,579.50 ",0,0,1.45E+13,4.32E+11,301,52,5
Spring 2010,1894,94,4811,644,1156,107,3,1,"$12,579.50 ",0,0,1.50E+13,4.38E+11,301,51,5
Fall 2010,1979,121,5032,677,1129,116,7,1,"$13,240.00 ",0,0,1.50E+13,4.38E+11,301,57,5
Spring 2011,1863,119,4876,648,1203,100,8,1,"$13,240.00 ",0,0,1.56E+13,4.43E+11,301,57,5
Fall 2011,1921,158,5225,691,1218,120,8,1,"$13,767.00 ",0,0,1.56E+13,4.43E+11,301,61,5
Spring 2012,1900,81,5027,699,1281,109,9,1,"$13,767.00 ",0,0,1.63E+13,4.45E+11,301,64,5
Fall 2012 ,1915,92,5357,672,1356,129,9,1,"$14,316.50 ",0,0,1.63E+13,4.45E+11,301,64,5
Spring 2013,1893,100,5259,721,1450,135,9,1,"$14,316.50 ",0,0,1.69E+13,4.52E+11,301,64,6
Fall 2013,1874,99,5599,706,1640,128,9,1,"$14,875.00 ",0,0,1.69E+13,4.52E+11,301,64,6
Spring 2014,1818,104,5490,729,1705,122,9,2,"$14,875.00 ",0,0,1.76E+13,4.62E+11,301,65,6
Fall 2014,1712,107,5782,701,1767,121,9,2,"$15,424.00 ",0,0,1.76E+13,4.62E+11,301,66,7
Spring 2015,1705,101,5631,725,1817,123,9,2,"$15,424.00 ",0,0,1.83E+13,4.75E+11,301,65,7
Fall  2015,1744,117,5903,728,1854,140,9,3,"$15,886.50 ",0,0,1.83E+13,4.75E+11,301,72,8
Spring 2016,1686,116,5783,721,1937,120,9,3,"$15,886.50 ",0,0,1.88E+13,4.83E+11,301,72,8
Fall  2016,1688,131,6008,731,1942,154,9,3,"$16,342.50 ",0,0,1.88E+13,4.83E+11,301,73,8
Spring 2017,1637,127,5879,743,2055,148,9,3,"$16,342.50 ",0,0,1.96E+13,5.47E+11,301,71,8
Fall  2017,1650,140,6045,746,2059,151,9,3,"$16,914.50 ",0,0,1.96E+13,5.47E+11,301,72,8
Spring 2018,1558,152,5876,695,2156,149,9,3,"$16,914.50 ",0,0,2.07E+13,5.57E+11,301,71,8
Fall  2018,1722,158,6196,795,2127,143,9,4,"$17,425.00 ",0,0,2.07E+13,5.57E+11,301,72,10
Spring 2019,1634,150,6012,759,2152,155,9,4,"$17,425.00 ",0,0,2.15E+13,5.68E+11,84,72,10
Fall  2019,1726,134,6277,811,2046,137,10,4,"$18,041.00 ",0,0,2.15E+13,5.68E+11,84,74,10
Spring 2020,1661,132,6136,760,2055,139,10,4,"$18,041.00 ",1,"2,648,797",2.14E+13,5.65E+11,88,73,10
Fall  2020,1737,129,6291,826,1916,145,9,5,"$18,707.00 ",1,"20,219,881",2.14E+13,5.65E+11,88,72,11
Spring 2021,1657,135,6080,743,1994,138,13,5,"$18,707.00 ",1,"33,782,328",2.37E+13,5.97E+11,88,76,11
Fall  2021,1793,143,6302,825,1912,124,13,5,"$19,109.00 ",1,"54,907,738",2.37E+13,5.97E+11,88,77,11
Spring 2022,1637,135,6052,665,1976,98,13,4,"$19,109.00 ",1,"87,675,497",2.60E+13,6.09E+11,83,80,10
Fall  2022,1778,158,6337,786,1948,97,12,4,"$20,867.00 ",1,"100,765,248",2.60E+13,6.09E+11,83,77,10
Spring 2023,1622,146,6108,641,2077,72,12,4,"$20,867.00 ",1,"103,802,702",2.77E+13,6.26E+11,89,77,10
Fall  2023,1824,174,6402,805,2145,102,12,4,"$22,014.50 ",0,0,2.77E+13,6.26E+11,89,75,10
Spring 2024,1675,162,5712,592,2237,94,13,4,"$22,014.50 ",0,0,2.92E+13,6.38E+11,133,76,10
Fall  2024,1916,134,6261,727,2163,87,13,4,"$23,225.50 ",0,0,2.92E+13,6.38E+11,133,72,9
